nivel;classe;padrao;vb;gdac;gdac_80;gdac_100;auxilio_alimentacao;ativo_80;ativo_100;gdac_50;aposentado_50;vigencia
SUPERIOR;ESPECIAL;V;4620.5;61.2;4896.0;6120.0;1175.0;10691.5;11915.5;3060.0;7680.5;01/01/2025
SUPERIOR;ESPECIAL;IV;4490.28;60.09;4807.2;6009.0;1175.0;10472.48;11674.279999999999;3004.5;7494.78;01/01/2025
SUPERIOR;ESPECIAL;III;4363.73;59.01;4720.8;5901.0;1175.0;10259.529999999999;11439.73;2950.5;7314.23;01/01/2025
SUPERIOR;ESPECIAL;II;4240.75;56.84;4547.2;5684.0;1175.0;9962.95;11099.75;2842.0;7082.75;01/01/2025
SUPERIOR;ESPECIAL;I;4121.23;55.84;4467.2;5584.0;1175.0;9763.43;10880.23;2792.0;6913.23;01/01/2025
SUPERIOR;C;V;3981.86;54.86;4388.8;5486.0;1175.0;9545.66;10642.86;2743.0;6724.860000000001;01/01/2025
SUPERIOR;C;IV;3869.64;53.9;4312.0;5390.0;1175.0;9356.64;10434.64;2695.0;6564.639999999999;01/01/2025
SUPERIOR;C;III;3760.58;52.97;4237.6;5297.0;1175.0;9173.18;10232.58;2648.5;6409.08;01/01/2025
SUPERIOR;C;II;3654.6;52.06;4164.8;5206.0;1175.0;8994.4;10035.6;2603.0;6257.6;01/01/2025
SUPERIOR;C;I;3551.6;50.21;4016.8;5021.0;1175.0;8743.4;9747.6;2510.5;6062.1;01/01/2025
SUPERIOR;B;V;3431.5;49.37;3949.6;4937.0;1175.0;8556.1;9543.5;2468.5;5900.0;01/01/2025
SUPERIOR;B;IV;3334.79;48.54;3883.2;4854.0;1175.0;8392.99;9363.79;2427.0;5761.79;01/01/2025
SUPERIOR;B;III;3240.81;47.73;3818.4;4773.0;1175.0;8234.21;9188.81;2386.5;5627.3099999999995;01/01/2025
SUPERIOR;B;II;3149.48;46.94;3755.2;4694.0;1175.0;8079.68;9018.48;2347.0;5496.48;01/01/2025
SUPERIOR;B;I;3060.72;46.16;3692.8;4616.0;1175.0;7928.52;8851.72;2308.0;5368.719999999999;01/01/2025
SUPERIOR;A;V;2957.22;44.6;3568.0;4460.0;1175.0;7700.219999999999;8592.22;2230.0;5187.219999999999;01/01/2025
SUPERIOR;A;IV;2873.88;43.88;3510.4;4388.0;1175.0;7559.280000000001;8436.880000000001;2194.0;5067.88;01/01/2025
SUPERIOR;A;III;2792.89;43.19;3455.2;4319.0;1175.0;7423.09;8286.89;2159.5;4952.389999999999;01/01/2025
SUPERIOR;A;II;2714.18;42.49;3399.2;4249.0;1175.0;7288.379999999999;8138.18;2124.5;4838.68;01/01/2025
SUPERIOR;A;I;2637.69;41.81;3344.8;4181.0;1175.0;7157.49;7993.6900000000005;2090.5;4728.1900000000005;01/01/2025
SUPERIOR;CLASSE;PADRÃO;;;;;;;;;;01/01/2025
SUPERIOR;ESPECIAL;V;4620.5;61.2;4896.0;6120.0;1175.0;10691.5;11915.5;3060.0;7680.5;01/01/2025
SUPERIOR;ESPECIAL;IV;4490.28;60.09;4807.2;6009.0;1175.0;10472.48;11674.279999999999;3004.5;7494.78;01/01/2025
SUPERIOR;ESPECIAL;III;4363.73;59.01;4720.8;5901.0;1175.0;10259.529999999999;11439.73;2950.5;7314.23;01/01/2025
SUPERIOR;ESPECIAL;II;4240.75;56.84;4547.2;5684.0;1175.0;9962.95;11099.75;2842.0;7082.75;01/01/2025
SUPERIOR;ESPECIAL;I;4121.23;55.84;4467.2;5584.0;1175.0;9763.43;10880.23;2792.0;6913.23;01/01/2025
SUPERIOR;C;V;3981.86;54.86;4388.8;5486.0;1175.0;9545.66;10642.86;2743.0;6724.860000000001;01/01/2025
SUPERIOR;C;IV;3869.64;53.9;4312.0;5390.0;1175.0;9356.64;10434.64;2695.0;6564.639999999999;01/01/2025
SUPERIOR;C;III;3760.58;52.97;4237.6;5297.0;1175.0;9173.18;10232.58;2648.5;6409.08;01/01/2025
SUPERIOR;C;II;3654.6;52.06;4164.8;5206.0;1175.0;8994.4;10035.6;2603.0;6257.6;01/01/2025
SUPERIOR;C;I;3551.6;50.21;4016.8;5021.0;1175.0;8743.4;9747.6;2510.5;6062.1;01/01/2025
SUPERIOR;B;V;3431.5;49.37;3949.6;4937.0;1175.0;8556.1;9543.5;2468.5;5900.0;01/01/2025
SUPERIOR;B;IV;3334.79;48.54;3883.2;4854.0;1175.0;8392.99;9363.79;2427.0;5761.79;01/01/2025
SUPERIOR;B;III;3240.81;47.73;3818.4;4773.0;1175.0;8234.21;9188.81;2386.5;5627.3099999999995;01/01/2025
SUPERIOR;B;II;3149.48;46.94;3755.2;4694.0;1175.0;8079.68;9018.48;2347.0;5496.48;01/01/2025
SUPERIOR;B;I;3060.72;46.16;3692.8;4616.0;1175.0;7928.52;8851.72;2308.0;5368.719999999999;01/01/2025
SUPERIOR;A;V;2957.22;44.6;3568.0;4460.0;1175.0;7700.219999999999;8592.22;2230.0;5187.219999999999;01/01/2025
SUPERIOR;A;IV;2873.88;43.88;3510.4;4388.0;1175.0;7559.280000000001;8436.880000000001;2194.0;5067.88;01/01/2025
SUPERIOR;A;III;2792.89;43.19;3455.2;4319.0;1175.0;7423.09;8286.89;2159.5;4952.389999999999;01/01/2025
SUPERIOR;A;II;2714.18;42.49;3399.2;4249.0;1175.0;7288.379999999999;8138.18;2124.5;4838.68;01/01/2025
SUPERIOR;A;I;2637.69;41.81;3344.8;4181.0;1175.0;7157.49;7993.6900000000005;2090.5;4728.1900000000005;01/01/2025
SUPERIOR;ESPECIAL;V;4999.29;64.26;5140.8;6426.0;1175.0;11315.09;12600.29;3213.0;8212.29;01/04/2026
SUPERIOR;ESPECIAL;IV;4853.68;63.1;5048.0;6310.0;1175.0;11076.68;12338.68;3155.0;8008.68;01/04/2026
SUPERIOR;ESPECIAL;III;4712.31;61.96;4956.8;6196.0;1175.0;10844.11;12083.310000000001;3098.0;7810.31;01/04/2026
SUPERIOR;ESPECIAL;II;4575.06;59.69;4775.2;5969.0;1175.0;10525.26;11719.060000000001;2984.5;7559.56;01/04/2026
SUPERIOR;ESPECIAL;I;4441.81;58.63;4690.4;5863.0;1175.0;10307.21;11479.810000000001;2931.5;7373.31;01/04/2026
SUPERIOR;C;V;4270.97;57.6;4608.0;5760.0;1175.0;10053.970000000001;11205.970000000001;2880.0;7150.97;01/04/2026
SUPERIOR;C;IV;4146.57;56.6;4528.0;5660.0;1175.0;9849.57;10981.57;2830.0;6976.57;01/04/2026
SUPERIOR;C;III;4025.8;55.62;4449.6;5562.0;1175.0;9650.400000000001;10762.8;2781.0;6806.8;01/04/2026
SUPERIOR;C;II;3908.54;54.66;4372.8;5466.0;1175.0;9456.34;10549.54;2733.0;6641.54;01/04/2026
SUPERIOR;C;I;3794.7;52.72;4217.6;5272.0;1175.0;9187.3;10241.7;2636.0;6430.7;01/04/2026
SUPERIOR;B;V;3648.75;51.83;4146.4;5183.0;1175.0;8970.15;10006.75;2591.5;6240.25;01/04/2026
SUPERIOR;B;IV;3542.48;50.96;4076.8;5096.0;1175.0;8794.28;9813.48;2548.0;6090.48;01/04/2026
